epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,967.378,1.189,3.80327,1.32595,0.64454,0.08554,0.10853,0.07607,0.98131,2.8831,1.11495,0.000138664,0.000138664,0.000138664
2,1930.68,1.22184,3.2011,1.34264,0.27316,0.23331,0.17664,0.11796,1.01561,2.67415,1.17405,0.000186035,0.000186035,0.000186035
3,2509.86,1.23903,2.9261,1.35328,0.32022,0.29772,0.24312,0.16181,1.01321,2.46041,1.16394,0.000141666,0.000141666,0.000141666
