model_type,precision,recall,map50,map50_95
original_model_on_original_val,0.9902881432416397,0.03829787234042553,0.08943826447893757,0.0655534622709252
medium_masked_model_on_medium_val,0.989756869451765,0.039227197664782526,0.08248534021011775,0.0584530552000583
