epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.061,1.16056,4.02208,1.29982,0.01828,0.45516,0.05852,0.04609,0.88253,3.68482,1.02792,0.000138073,0.000138073,0.000138073
2,228.585,1.1282,3.47433,1.31626,0.98919,0.03723,0.06954,0.05114,0.90222,3.14898,1.06857,0.000185639,0.000185639,0.000185639
3,336.076,1.15775,3.26155,1.34399,0.98933,0.03922,0.08314,0.05876,0.89968,3.07444,1.07734,0.000141465,0.000141465,0.000141465
